8493 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@68ef6dae, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@55d18b17, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@416afc2f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7bbdffb1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@682c7f75, org.springframework.test.context.transaction.TransactionalTestExecutionListener@317cd854, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@27e1d1d0, org.springframework.test.context.event.EventPublishingTestExecutionListener@33b5e2ea, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@38e9e43e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6f80350f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@46c6067e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5af81efe, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2dc7d98b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4381b971]
8513 [Test worker] INFO  c.t.c.c.CalculatorControllerTest - Starting CalculatorControllerTest on Pranalis-MacBook-Pro.local with PID 5232 (started by pranali in /Users/pranali/Desktop/calculator)
8513 [Test worker] DEBUG c.t.c.c.CalculatorControllerTest - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
8513 [Test worker] INFO  c.t.c.c.CalculatorControllerTest - The following profiles are active: test
8647 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
8655 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8ms. Found 1 JPA repository interfaces.
8678 [Test worker] INFO  o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor - Replacing 'dataSource' DataSource bean with embedded version
8723 [Test worker] INFO  o.s.j.d.e.EmbeddedDatabaseFactory - Starting embedded database: url='jdbc:h2:mem:17eb9227-3f73-4df7-b86c-9a30eb10458a;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
8759 [Test worker] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
8771 [task-1] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
8776 [task-1] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
8798 [task-1] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
8799 [task-1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
8841 [Test worker] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
9009 [Test worker] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:17eb9227-3f73-4df7-b86c-9a30eb10458a'
9043 [Test worker] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
9044 [Test worker] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
9048 [Test worker] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 4 ms
9053 [Test worker] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener - Triggering deferred initialization of Spring Data repositories…
9088 [Test worker] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener - Spring Data repositories initialized!
9090 [Test worker] INFO  c.t.c.c.CalculatorControllerTest - Started CalculatorControllerTest in 0.594 seconds (JVM running for 9.736)
9134 [Test worker] INFO  c.t.c.c.CalculatorController - 5 + 3 = 8
9146 [Test worker] INFO  c.t.c.c.CalculatorController - 5 / 3 = 1
9153 [Test worker] INFO  c.t.c.c.CalculatorController - 5 - 3 = 2
9219 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
9220 [SpringContextShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
9220 [SpringContextShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
9220 [SpringContextShutdownHook] INFO  o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
9220 [SpringContextShutdownHook] INFO  o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
9226 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
9226 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
9227 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
