8202 [Test worker] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 8 ms
8214 [Test worker] INFO  c.t.c.c.CalculatorControllerMockServiceTest - Started CalculatorControllerMockServiceTest in 0.372 seconds (JVM running for 8.881)
8321 [Test worker] INFO  c.t.c.c.CalculatorController - 5 + 2 = 0
8344 [Test worker] INFO  c.t.c.c.CalculatorController - 5 / 2 = 0
8350 [Test worker] INFO  c.t.c.c.CalculatorController - 5 - 2 = 0
8355 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.tw.calculator.controller.CalculatorControllerTest], using SpringBootContextLoader
8356 [Test worker] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.tw.calculator.controller.CalculatorControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
8359 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
8359 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@715cca82, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3e844965, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@104336d7, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4f5cd5f9, org.springframework.test.context.support.DirtiesContextTestExecutionListener@58431e4a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4490ab46, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4decc88d, org.springframework.test.context.event.EventPublishingTestExecutionListener@64362fd4, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2447dc56, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@65cc9903, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4e4f8d97, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1bd25305, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@1ed9945, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@680cfa]
8376 [Test worker] INFO  c.t.c.c.CalculatorControllerTest - Starting CalculatorControllerTest on Pranalis-MacBook-Pro.local with PID 5255 (started by pranali in /Users/pranali/Desktop/calculator)
8376 [Test worker] DEBUG c.t.c.c.CalculatorControllerTest - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
8376 [Test worker] INFO  c.t.c.c.CalculatorControllerTest - The following profiles are active: test
8500 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
8507 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7ms. Found 1 JPA repository interfaces.
8530 [Test worker] INFO  o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor - Replacing 'dataSource' DataSource bean with embedded version
8572 [Test worker] INFO  o.s.j.d.e.EmbeddedDatabaseFactory - Starting embedded database: url='jdbc:h2:mem:ba270bfd-50e6-4c9a-9d24-656b1e3e573b;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
8610 [Test worker] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
8622 [task-1] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
8627 [task-1] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
8649 [task-1] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
8649 [task-1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
8692 [Test worker] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
8859 [Test worker] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:ba270bfd-50e6-4c9a-9d24-656b1e3e573b'
8895 [Test worker] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
